,CID,Name,RON,Smiles,Source
151,5326158,"4,4-Dimethyl-2-Pentene",105.3,C/C=C/C(C)(C)C,QMMGoogleDrive
154,5364870,6-Methyl-2-Heptene,71.3,C/C=C/CCC(C)C,QMMGoogleDrive
17,8452,Cyclopentanone,104.0,C1CCC(=O)C1,QMMGoogleDrive
160,9253,Cyclopentane,101.6,C1CCCC1,QMMGoogleDrive
158,8078,Cyclohexane,84.0,C1CCCCC1,QMMGoogleDrive
157,9265,Cycloheptane,38.9,C1CCCCCC1,QMMGoogleDrive
159,9266,Cyclooctane,71.0,C1CCCCCCC1,QMMGoogleDrive
162,6325,Ethene,97.3,C=C,QMMGoogleDrive
161,6324,Ethane,114.9,CC,QMMGoogleDrive
98,11250,"2,3-Dimethyl-2-Butene",97.4,CC(=C(C)C)C,QMMGoogleDrive
80,8255,2-Methylpropene,106.3,CC(=C)C,QMMGoogleDrive
384,10566,"2,3-Dimethyl-1,3-butadiene",99.2,CC(=C)C(=C)C,FeatureCreature
113,7868,"2,4,4-Trimethyl-1-Pentene",106.0,CC(=C)CC(C)(C)C,QMMGoogleDrive
385,12322,"2,5-Dimethyl-1,5-hexadiene",90.2,CC(=C)CCC(=C)C,FeatureCreature
114,7869,"2,4,4-Trimethyl-2-Pentene",103.5,CC(=CC(C)(C)C)C,QMMGoogleDrive
188,180,2-propanone,111.0,CC(=O)C,FeatureCreature
0,6584,Methyl acetate,120.0,CC(=O)OC,QMMGoogleDrive
89,10041,"2,2-Dimethylpropane",85.5,CC(C)(C)C,QMMGoogleDrive
24,11675,"2,2,3,3- tetramethyl-butane",102.1,CC(C)(C)C(C)(C)C,QMMGoogleDrive
187,18508,tert-Butylcyclohexane,98.5,CC(C)(C)C1CCCCC1,QMMGoogleDrive
137,11210,"3,3-Dimethyl-1-Butene",111.7,CC(C)(C)C=C,QMMGoogleDrive
150,12984,"4,4-Dimethyl-1-Pentene",104.4,CC(C)(C)CC=C,QMMGoogleDrive
12,8257,2-Methyl-3-buten-2-ol,106.6,CC(C)(C=C)O,QMMGoogleDrive
175,6360,Methylpropane,102.1,CC(C)C,QMMGoogleDrive
106,11270,"2,3,4-Trimethyl-2-Pentene",96.6,CC(C)C(=C(C)C)C,QMMGoogleDrive
95,11249,"2,3-Dimethyl-1-Butene",101.3,CC(C)C(=C)C,QMMGoogleDrive
33,11251,3-Methyl-2-butanone,99.5,CC(C)C(=O)C,QMMGoogleDrive
31,11271,"2,4-dimethyl-3-pentanone",100.0,CC(C)C(=O)C(C)C,QMMGoogleDrive
