SMILES,YSI,YSI_err,Source
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,128,6.4,Pfefferle
C=COCC1CCC(COC=C)CC1,130.5,6.5,Pfefferle
CCCCCCCC1CCC(=O)O1,58.2,2.9,Pfefferle
CCCCCCCCCC(=O)OCC,58,2.9,Pfefferle
CCCCCCCCCC(=O)OCCCC,82.6,4.1,Pfefferle
CC(C)CCCC1CCC2CCCC2C1,155.4,7.8,Pfefferle
CCC1CCC(CCCC(C)C)CC1,130.7,6.5,Pfefferle
CC(C)CCCC1CCC(C)C(C)C1,157.9,7.9,Pfefferle
CCCCC1(CCCC)CCO1,74.7,3.7,Pfefferle
CCCCCCC1CCO1,52.7,2.6,Pfefferle
CCCCCCCCC1CCO1,67.1,3.4,Pfefferle
CCCCCCCCCC1(C)CCO1,90.2,4.5,Pfefferle
CCCCC1(CCCC)COC1,89.3,4.5,Pfefferle
CCCCCCCCCCC1CCO1,78.9,3.9,Pfefferle
CCCCCCC1(CC)CCO1,73.2,3.7,Pfefferle
CCCCCC1(CCC)CCO1,87.5,4.4,Pfefferle
CCCCOC(C)C(=O)OC,26.3,1.3,Pfefferle
CCCCCCOC(C)C(=O)OC,41.6,2.1,Pfefferle
CC(C)COC(=O)C(C)OCC(C)C,68.1,3.4,Pfefferle
CC(C)CCOC(=O)C(C)OCCC(C)C,74.5,3.7,Pfefferle
CCCCCCCCOC(C)C(=O)OCC,51.7,2.6,Pfefferle
COC(=O)C(C)OCC1CC1,43.5,2.2,Pfefferle
CCOC(=O)CC(OCC)OCC,27.4,1.4,Pfefferle
CC(C)CCOCCCC(=O)OCCC(C)C,81.7,4.1,Pfefferle
CC(C)CCOCC(=O)OCCC(C)C,70.6,3.5,Pfefferle
CCCCCCCCCCCCCCCC,88.25786508,4.412893254,Pfefferle
CCCCCCCCCCCCCCC,84.11564162,4.205782081,Pfefferle
CCCCCCCCCCCCCC,78.43050339,3.92152517,Pfefferle
CCCCCCCCCCCCC,72.51296673,3.625648337,Pfefferle
CCCCCCCCCCCC,67.05521295,3.352760648,Pfefferle
CCCCCCCCCCC,60.0889102,3.00444551,Pfefferle
CCCCCCCCCC,54.00615122,2.700307561,Pfefferle
CC(C)(C)c1ccco1,107.5,,Pfefferle
CC#CCCC,66.9,,Pfefferle
CC#CCCCC,75.2,,Pfefferle
CC#CCCCCC,81.2,,Pfefferle
CCC(C)CCCC(C)CCCC(C)C,109.8,,Pfefferle
CCCCCOCCCCC,49.8,,Pfefferle
CCOCCOCCO,15.1,,Pfefferle
COC(C)COC(C)COC(C)CO,40.6,,Pfefferle
CCCCCCCC(C)O,47.3,,Pfefferle
CCCCCCOC(=O)CCCCC,66.7,,Pfefferle
CCCCCCCCCC(=O)OC,50.4,,Pfefferle
CCCCOC(CCC)CCC,60.3,,Pfefferle
CCCCCC(CCCCC)OCC,68.5,,Pfefferle
CCCCCCOC(CCC)CCC,73.3,,Pfefferle
CCCCCCCCCCC(=O)OC,58.5,,Pfefferle
O=CCc1ccccc1,217.6,,Pfefferle
CC(=O)c1ccccc1,130.8,,Pfefferle
Cc1ccco1,41.5,,Pfefferle
CCc1ccco1,46.9,,Pfefferle
CCCc1ccco1,53.8,,Pfefferle
CCCCc1ccco1,58.6,,Pfefferle
Cc1ccoc1C,54.6,,Pfefferle
Cc1ccc(C)o1,55.1,,Pfefferle
C1CCOC1,20.1,,Pfefferle
C1=COCC1,24.9418789,,Pfefferle
C1=CCOC1,25.1153902,,Pfefferle
CC1CCCO1,30.55889337,,Pfefferle
CC1CCC(C)O1,43.4,,Pfefferle
O=Cc1ccco1,28.3,,Pfefferle
OCc1ccco1,38.06353139,,Pfefferle
Cc1ccc(C=O)o1,44.11601392,,Pfefferle
COc1ccccc1,111,,Pfefferle
OCc1ccccc1,189,,Pfefferle
Cc1cccc(O)c1,103,,Pfefferle
O=Cc1ccccc1,119,,Pfefferle
CCc1ccccc1,216,,Pfefferle
CCOc1ccccc1,112,,Pfefferle
COCc1ccccc1,202,,Pfefferle
CC(O)c1ccccc1,142,,Pfefferle
OCCc1ccccc1,207,,Pfefferle
CCc1ccccc1O,120,,Pfefferle
CCc1cccc(O)c1,138,,Pfefferle
Cc1ccccc1C,200,,Pfefferle
Cc1ccc(C)cc1,202,,Pfefferle
COc1ccccc1C,122,,Pfefferle
COc1cccc(C)c1,126,,Pfefferle
COc1ccc(C)cc1,123,,Pfefferle
Cc1cccc(CO)c1,243,,Pfefferle
Cc1ccc(O)c(C)c1,144,,Pfefferle
Nc1ccccc1,84.56914113,,Pfefferle
CCCCCCN,26.63057754,,Pfefferle
c1ccncc1,34.6323542,,Pfefferle
C1CCNCC1,23.05635044,,Pfefferle
C1COCCN1,8.768395092,,Pfefferle
C1CCNC1,13.84318013,,Pfefferle
CC(C)NC(C)C,32.00716564,,Pfefferle
CC(C)(C)N,21.09697983,,Pfefferle
CCCCN,15.04215796,,Pfefferle
CC(C)CN,23.36464274,,Pfefferle
CCC(C)N,18.55823394,,Pfefferle
CNC(C)C,18.10543146,,Pfefferle
Cc1ccccn1,64.97090146,,Pfefferle
Cc1cccnc1,66.0562009,,Pfefferle
Cc1ccncc1,65.65246501,,Pfefferle
Cc1ccccc1N,114.4255294,,Pfefferle
Cc1cccc(N)c1,119.647186,,Pfefferle
CC1CCCCN1,27.31104739,,Pfefferle
CC1CCCNC1,33.6263656,,Pfefferle
CCCNCCC,22.45477328,,Pfefferle
CC(C)(C)CCN,40.79086278,,Pfefferle
C1=CCNCC1,32.92668155,,Pfefferle
