,#Name,PubChem,Cetane,Smiles,Source
358,caryophyllene,5322111.0,29.0,C/C/1=C/CCC(=C)C2CC(C2CC1)(C)C,FeatureCreature
258,methyl sorbate,5323650.0,6.0,C/C=C/C=C/C(=O)OC,FeatureCreature
284,biphenyl,7095.0,21.0,C1=CC=C(C=C1)C2=CC=CC=C2,FeatureCreature
3,diphenylmethane,7580.0,11.0,C1=CC=C(C=C1)CC2=CC=CC=C2,FeatureCreature
5,"1,2-diphenylethane",7647.0,1.0,C1=CC=C(C=C1)CCC2=CC=CC=C2,FeatureCreature
327,2-phenyl ethanol,6054.0,8.0,C1=CC=C(C=C1)CCO,FeatureCreature
281,naphthalene,931.0,22.0,C1=CC=C2C=CC=CC2=C1,FeatureCreature
263,benzene,241.0,14.3,C1=CC=CC=C1,FeatureCreature
333,2-furfuryl alcohol,7361.0,10.8,C1=COC(=C1)CO,FeatureCreature
325,Furan,8029.0,7.0,C1=COC=C1,FeatureCreature
337,"2,5 dihydrofuran",15570.0,15.6,C1C=CCO1,FeatureCreature
339,2-tetrahydrofurfuryl alcohol,7360.0,17.9,C1CC(OC1)CO,FeatureCreature
329,cyclopentanone,8452.0,9.0,C1CCC(=O)C1,FeatureCreature
38,cyclohexanone,7967.0,10.0,C1CCC(=O)CC1,FeatureCreature
566,bicyclohexyl,,51.0,C1CCC(CC1)C1CCCCC1,Saldana
283,bicyclohexyl,7094.0,50.2,C1CCC(CC1)C2CCCCC2,FeatureCreature
97,tetralin,8404.0,8.9,C1CCC2=CC=CC=C2C1,FeatureCreature
225,Perhydro-phenanthrene,21971.0,38.8,C1CCC2C(C1)CCC3C2CCCC3,FeatureCreature
280,cis-decalin,7044.0,40.5,C1CCC2CCCCC2C1,FeatureCreature
54,cyclohexene,8079.0,57.0,C1CCC=CC1,FeatureCreature
169,cyclopentane,9253.0,6.1,C1CCCC1,FeatureCreature
53,cyclohexane,8078.0,15.05,C1CCCCC1,FeatureCreature
174,cyclooctane,9266.0,22.3,C1CCCCCCC1,FeatureCreature
347,tetrahydrofuran,8028.0,21.9,C1CCOC1,FeatureCreature
569,cis-decalin,,38.1,C1CC[C@@H]2CCCC[C@@H]2C1,Saldana
580,trans-decalin,,35.9,C1CC[C@@H]2CCCC[C@H]2C1,Saldana
452,tetralin,,13.0,C1CCc2ccccc2C1,Saldana
345,"2,3 dihydrofuran",70934.0,20.0,C1COC=C1,FeatureCreature
607,"2,2,6,6,8,8-hexamethyl-4-methylene-nonane",,4.5,C=C(CC(C)(C)C)CC(C)(C)CC(C)(C)C,Saldana
0,4-vinyl-1-cyclohexene,7499.0,40.0,C=CC1CCC=CC1,FeatureCreature
619,ethenylcyclohexane,,38.0,C=CC1CCCCC1,Saldana
141,"1,9-Decadiene",15439.0,41.0,C=CCCCCCCC=C,FeatureCreature
26,"2,4,4-trimethyl-1-pentene",7868.0,10.0,CC(=C)CC(C)(C)C,FeatureCreature
350,farnesene,5281516.0,22.0,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,FeatureCreature
351,farnesol,445070.0,24.0,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,FeatureCreature
349,geraniol,637566.0,22.0,CC(=CCC/C(=C/CO)/C)C,FeatureCreature
353,Ocimene,18756.0,28.0,CC(=CCC=C(C)C=C)C,FeatureCreature
342,Linalool,6549.0,20.0,CC(=CCCC(C)(C=C)O)C,FeatureCreature
499,glycerol triethanoate,,0.0,CC(=O)OC(COC(=O)C)COC(=O)C,Saldana
4,glycerol triacetate,5541.0,5.0,CC(=O)OCC(COC(=O)C)OC(=O)C,FeatureCreature
170,"2-(1,1-dimethylethyl)-naphthalene",17889.0,3.0,CC(C)(C)C1=CC2=CC=CC=C2C=C1,FeatureCreature
290,tert-butyl benzene,7366.0,0.0,CC(C)(C)C1=CC=CC=C1,FeatureCreature
199,tert-butyldecalin,141340.0,24.0,CC(C)(C)C1CCCC2C1CCCC2,FeatureCreature
579,tert-butyldecalin,,24.0,CC(C)(C)C1CCCC2CCCCC12,Saldana
450,tert-butyltetralin,,17.0,CC(C)(C)C1CCCc2ccccc12,Saldana
266,t-butanol,6386.0,17.0,CC(C)(C)O,FeatureCreature
412,2-tert-butylnaphthalene,,3.0,CC(C)(C)c1ccc2ccccc2c1,Saldana
449,tert-butylbenzene,,-1.0,CC(C)(C)c1ccccc1,Saldana
336,"2,4-dimethyl-3-pentanone (DIK)",11271.0,14.0,CC(C)C(=O)C(C)C,FeatureCreature
203,"2,2,3-trimethylbutane",10044.0,12.9,CC(C)C(C)(C)C,FeatureCreature
264,"1,3,5-triisopropylbenzene",12860.0,2.8,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,FeatureCreature
