ID,Name,PubChem,CN,Smiles,Source
1,caryophyllene,5322111,29,C/C/1=C/CCC(=C)C2CC(C2CC1)(C)C,FeatureCreature
2,methyl sorbate,5323650,6,C/C=C/C=C/C(=O)OC,FeatureCreature
3,biphenyl,7095,21,C1=CC=C(C=C1)C2=CC=CC=C2,FeatureCreature
4,diphenylmethane,7580,11,C1=CC=C(C=C1)CC2=CC=CC=C2,FeatureCreature
5,"1,2-diphenylethane",7647,1,C1=CC=C(C=C1)CCC2=CC=CC=C2,FeatureCreature
6,2-phenyl ethanol,6054,8,C1=CC=C(C=C1)CCO,FeatureCreature
7,naphthalene,931,22,C1=CC=C2C=CC=CC2=C1,FeatureCreature
8,benzene,241,14.3,C1=CC=CC=C1,FeatureCreature
9,2-furfuryl alcohol,7361,10.8,C1=COC(=C1)CO,FeatureCreature
10,Furan,8029,7,C1=COC=C1,FeatureCreature
11,"2,5 dihydrofuran",15570,15.6,C1C=CCO1,FeatureCreature
12,2-tetrahydrofurfuryl alcohol,7360,17.9,C1CC(OC1)CO,FeatureCreature
13,cyclopentanone,8452,9,C1CCC(=O)C1,FeatureCreature
14,cyclohexanone,7967,10,C1CCC(=O)CC1,FeatureCreature
15,bicyclohexyl,,51,C1CCC(CC1)C1CCCCC1,Saldana
16,bicyclohexyl,7094,50.2,C1CCC(CC1)C2CCCCC2,FeatureCreature
17,tetralin,8404,8.9,C1CCC2=CC=CC=C2C1,FeatureCreature
18,Perhydro-phenanthrene,21971,38.8,C1CCC2C(C1)CCC3C2CCCC3,FeatureCreature
19,cis-decalin,7044,40.5,C1CCC2CCCCC2C1,FeatureCreature
20,cyclohexene,8079,57,C1CCC=CC1,FeatureCreature
21,cyclopentane,9253,6.1,C1CCCC1,FeatureCreature
22,cyclohexane,8078,15.05,C1CCCCC1,FeatureCreature
23,cyclooctane,9266,22.3,C1CCCCCCC1,FeatureCreature
24,tetrahydrofuran,8028,21.9,C1CCOC1,FeatureCreature
25,cis-decalin,,38.1,C1CC[C@@H]2CCCC[C@@H]2C1,Saldana
26,trans-decalin,,35.9,C1CC[C@@H]2CCCC[C@H]2C1,Saldana
27,tetralin,,13,C1CCc2ccccc2C1,Saldana
28,"2,3 dihydrofuran",70934,20,C1COC=C1,FeatureCreature
29,"2,2,6,6,8,8-hexamethyl-4-methylene-nonane",,4.5,C=C(CC(C)(C)C)CC(C)(C)CC(C)(C)C,Saldana
30,4-vinyl-1-cyclohexene,7499,40,C=CC1CCC=CC1,FeatureCreature
31,ethenylcyclohexane,,38,C=CC1CCCCC1,Saldana
32,"1,9-Decadiene",15439,41,C=CCCCCCCC=C,FeatureCreature
33,"2,4,4-trimethyl-1-pentene",7868,10,CC(=C)CC(C)(C)C,FeatureCreature
34,farnesene,5281516,22,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,FeatureCreature
35,farnesol,445070,24,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,FeatureCreature
36,geraniol,637566,22,CC(=CCC/C(=C/CO)/C)C,FeatureCreature
37,Ocimene,18756,28,CC(=CCC=C(C)C=C)C,FeatureCreature
38,Linalool,6549,20,CC(=CCCC(C)(C=C)O)C,FeatureCreature
39,glycerol triethanoate,,0,CC(=O)OC(COC(=O)C)COC(=O)C,Saldana
40,glycerol triacetate,5541,5,CC(=O)OCC(COC(=O)C)OC(=O)C,FeatureCreature
41,"2-(1,1-dimethylethyl)-naphthalene",17889,3,CC(C)(C)C1=CC2=CC=CC=C2C=C1,FeatureCreature
42,tert-butyl benzene,7366,0,CC(C)(C)C1=CC=CC=C1,FeatureCreature
43,tert-butyldecalin,141340,24,CC(C)(C)C1CCCC2C1CCCC2,FeatureCreature
44,tert-butyldecalin,,24,CC(C)(C)C1CCCC2CCCCC12,Saldana
45,tert-butyltetralin,,17,CC(C)(C)C1CCCc2ccccc12,Saldana
46,t-butanol,6386,17,CC(C)(C)O,FeatureCreature
47,2-tert-butylnaphthalene,,3,CC(C)(C)c1ccc2ccccc2c1,Saldana
48,tert-butylbenzene,,-1,CC(C)(C)c1ccccc1,Saldana
49,"2,4-dimethyl-3-pentanone (DIK)",11271,14,CC(C)C(=O)C(C)C,FeatureCreature
50,"2,2,3-trimethylbutane",10044,12.9,CC(C)C(C)(C)C,FeatureCreature
51,"1,3,5-triisopropylbenzene",12860,2.8,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,FeatureCreature
52,m-diisopropylbenzene,7450,-3,CC(C)C1=CC(=CC=C1)C(C)C,FeatureCreature
53,isopropyl benzene,7406,7,CC(C)C1=CC=CC=C1,FeatureCreature
54,"1,3,5-triisopropyl cyclohexane",4583934,25.3,CC(C)C1CC(CC(C1)C(C)C)C(C)C,FeatureCreature
55,"2,2,4-trimethylpentane",10907,18.04,CC(C)CC(C)(C)C,FeatureCreature
56,"2,4-dimethylpentane",7907,28.7,CC(C)CC(C)C,FeatureCreature
57,"2,2,5-trimethylhexane",19041,24,CC(C)CCC(C)(C)C,FeatureCreature
58,"2,2,6,6,8,8-hexamethyl-4-methylene-nonane",56846471,5,CC(C)CCC(C)CCC(C)CC=C(C)C,FeatureCreature
59,"2,9-dimethyl-5,6-diisoamyldecane",,48,CC(C)CCC(CCC(C)C)C(CCC(C)C)CCC(C)C,Saldana
60,"2,6-dimethylhept-1-ene",,51,CC(C)CCCC(=C)C,Saldana
61,"2,6-dimethylheptene",14069,51,CC(C)CCCC(C)C,FeatureCreature
62,"3,7-dimethyl-1-octanol",7792,29.3,CC(C)CCCC(C)CCO,FeatureCreature
63,isopentanol,31260,18.4,CC(C)CCO,FeatureCreature
64,diisoamylether,10989,96.3,CC(C)CCOCCC(C)C,FeatureCreature
65,isobutanol,6560,8.5,CC(C)CO,FeatureCreature
66,diisobutylether,12346,59.7,CC(C)COCC(C)C,FeatureCreature
67,"1,3-di(propan-2-yl)benzene",,-8,CC(C)c1cccc(c1)C(C)C,Saldana
68,isopropylbenzene,,15,CC(C)c1ccccc1,Saldana
69,"2,2,4,6,6-pentamethylheptane",26058,9,CC(CC(C)(C)C)CC(C)(C)C,FeatureCreature
70,"2,2,4,4,6,8,8-heptamethylnonane",20414,14.65,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,FeatureCreature
71,dot-citronellol,8842,25.6,CC(CCC=C(C)C)CCO,FeatureCreature
72,tripropylene glycol monomethyl ether,25054,81.3,CC(CO)OCC(C)OCC(C)OC,FeatureCreature
73,1-methoxy-2 propanol,7900,19,CC(COC)O,FeatureCreature
74,linolenic acid,5280934,20,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,FeatureCreature
75,methyl linolenate,5319706,37,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,FeatureCreature
76,"2,3-bis[[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxy]propyl",,23,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,Saldana
77,ethyl linolenate,5367460,27,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC,FeatureCreature
78,trilinolenin,5462874,23,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,FeatureCreature
79,linolenyl alcohol,6436081,41,CC/C=C\C/C=C\C/C=C\CCCCCCCCO,FeatureCreature
80,dot-pinene,14896,22,CC1(C2CCC(=C)C1C2)C,FeatureCreature
81,"1,2,4,5-tetramethylbenzene",10263,1,CC1=C(C(=C(C=C1)C)C)C,FeatureCreature
82,"1,2,4-trimethylbenzene",7247,8.9,CC1=CC(=C(C=C1)C)C,FeatureCreature
83,4-methyl guaiacol,7144,20,CC1=CC(=C(C=C1)O)OC,FeatureCreature
84,"1,3,5-trimethylbenzene",7947,8,CC1=CC(=CC(=C1)C)C,FeatureCreature
85,"1,3-dimethylbenzene",7929,-1,CC1=CC(=CC=C1)C,FeatureCreature
86,bisabolene,3033866,32.2,CC1=CC/C(=C(/C)\CCC=C(C)C)/CC1,FeatureCreature
87,"2,6-dimethylnaphthalene",11387,-7,CC1=CC2=C(C=C1)C=C(C=C2)C,FeatureCreature
