ID,compound_id,Smiles,pKi
1,CHEMBL358493,C[N+]12CCC(CC1)C(O)(c1cc3ccccc3o1)C2,5.259637311
2,CHEMBL343236,c1ccc2c(c1)CC(C1CN3CCC1CC3)O2,6.309894379
3,CHEMBL150845,CC(=C1CCN(C2CCN(C(=O)c3ccc(F)c4ccccc34)CC2)CC1)c1ccc(S(=O)(=O)C(C)C)cc1,8.017728767
4,CHEMBL593871,C[C@H]1OC[C@@H](C[N+](C)(C)C)O[C@@H]1C,4.779999976
5,CHEMBL91404,CCOC(=O)N1CCC(N2CCC(C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,9.886056648
6,CHEMBL42_NBI452130,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,6.886056648
7,CHEMBL72551,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)CCC)CC2)CC1,9.420102145
8,CHEMBL167223,CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc21)c1ccccn1,7.480040819
9,CHEMBL258959,COC1(C#CC(C#N)(c2ccccc2)c2ccccc2)CN2CCC1CC2,8.199970641
10,CHEMBL51515,CC(C)NC(=O)c1ccc(C2(C3CCN(C4CCN(C(=O)c5ccccc5Cl)CC4)CC3)OCCO2)cc1,7.455931956
11,CHEMBL2441757,C[N+](C)(C)C[C@H]1CNC(=O)O1,4
12,CHEMBL3354070,CN1CCC=C(c2nsnc2OCCCCCCCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,7.049976093
13,CHEMBL353140,CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1)C(=O)c1ccc(F)cc1,7.494850022
14,CHEMBL2441754,CN(C)C[C@@H]1CNC(=O)O1,4
15,CHEMBL12587,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O,7.044916296
16,CHEMBL2042554,CN(C)C[C@@H]1COCC(c2ccccc2)(c2ccccc2)O1,7.019996628
17,CHEMBL71483,CC(C)(N)CC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,6
18,CHEMBL4128341,c1ccc(C2(c3ccccc3)COC[C@H](CO[C@@H]3CN4CCC3CC4)O2)cc1,7.480040819
19,CHEMBL168223,CN(C)CCNC(=O)C1=C(Cc2ccncc2)c2ccccc2C1,4.03
20,CHEMBL200566,CO[C@]1(C#CC(O)C2c3ccccc3C=Cc3ccccc32)CN2CCC1CC2,6.199970641
21,CHEMBL2429890,c1cc2c(cc1CN[C@H]1C3C4CC5C6C4CC3C6C51)OCO2,5.355167671
22,CHEMBL24369,CCN(CC)CCCCCOC(=O)C(C)(c1ccccc1)C1CCCCC1,6.609064893
23,CHEMBL234439,CN(C)C1(CNCCC2CCCCCC2)COc2ccccc2OC1,8.698970004
24,CHEMBL356321,C1=C(c2ccsc2)C2CCN1CC2,5.769551079
25,CHEMBL305531,NCC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)C1,6.886056648
26,CHEMBL200210,COC1(C#CC(O)(c2ccccc2)c2ccccn2)CN2CCC1CC2,7.102372909
27,CHEMBL2115128,C=C(c1ccc([S@+]([O-])c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,10.24412514
28,CHEMBL370128,COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1,5
29,CHEMBL427013,COC1(C#CC(O)(c2ccccc2)c2ccc(F)nc2)CN2CCC1CC2,8.397940009
30,CHEMBL3354076,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCCCO)CC1,6.379999358
31,CHEMBL222917,COCC[N+]1(CCOc2ccccc2)CCC(N2CC(c3ccccc3)(c3ccccc3)NC2=O)C1,6.258060922
32,CHEMBL540359,CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCC[N+](C)(Cc3cccc(O)c3)C2)cc1,8.500038134
33,CHEMBL258907,C[C@H]1O[C@@H]([C@H]2CCC[N+]2(C)C)CS1,5.849999245
34,CHEMBL64000,CC(=O)OC1CC2CCCC1N2,8.476249879
35,CHEMBL289894,C[C@@H]1CC2(CO1)CN1CCC2CC1,4.698970004
36,CHEMBL4128764,C[C@@]1(C(=O)O[C@@H]2CN3CCC2CC3)COCC(c2ccccc2)(c2ccccc2)O1,5.809999052
37,CHEMBL1256938,COc1ccccc1NCCCCCCNCCCCCCCCNCCCCCCNc1ccccc1OC,7.983802646
38,CHEMBL350956,COc1ccc(S(=O)(=O)c2ccc([C@@H](C)N3CCN(C4CCCCC4)[C@@H](C)C3)cc2)cc1,10.39794001
39,CHEMBL71088,CC(c1ccc(S(=O)(=O)c2ccccc2)cc1)N1CCNCC1,7.431798276
40,CHEMBL51256,Cc1c(N)cccc1C(=O)N1CCC(N2CCC(Cc3ccc(C(=O)NC(C)C)cc3)CC2)CC1,8.795880017
41,CHEMBL307234,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCN(C(=O)OC)CC2)CC1,9.004189404
42,CHEMBL4070155,CCCN(CCC)CC1CCCCN1CCNC(=O)N1c2ccccc2NC(=O)c2cccnc21,8.19665442
43,CHEMBL556390,C[N+]1(C)CCC[C@@H]1[C@@H]1C[S+]([O-])C(c2ccccc2)(c2ccccc2)O1,6.935014688
