ID,Smiles,YSI,YSI_err,Source
1,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,128,6.4,Pfefferle
2,C=COCC1CCC(COC=C)CC1,130.5,6.5,Pfefferle
3,CCCCCCCC1CCC(=O)O1,58.2,2.9,Pfefferle
4,CCCCCCCCCC(=O)OCC,58,2.9,Pfefferle
5,CCCCCCCCCC(=O)OCCCC,82.6,4.1,Pfefferle
6,CC(C)CCCC1CCC2CCCC2C1,155.4,7.8,Pfefferle
7,CCC1CCC(CCCC(C)C)CC1,130.7,6.5,Pfefferle
8,CC(C)CCCC1CCC(C)C(C)C1,157.9,7.9,Pfefferle
9,CCCCC1(CCCC)CCO1,74.7,3.7,Pfefferle
10,CCCCCCC1CCO1,52.7,2.6,Pfefferle
11,CCCCCCCCC1CCO1,67.1,3.4,Pfefferle
12,CCCCCCCCCC1(C)CCO1,90.2,4.5,Pfefferle
13,CCCCC1(CCCC)COC1,89.3,4.5,Pfefferle
14,CCCCCCCCCCC1CCO1,78.9,3.9,Pfefferle
15,CCCCCCC1(CC)CCO1,73.2,3.7,Pfefferle
16,CCCCCC1(CCC)CCO1,87.5,4.4,Pfefferle
17,CCCCOC(C)C(=O)OC,26.3,1.3,Pfefferle
18,CCCCCCOC(C)C(=O)OC,41.6,2.1,Pfefferle
19,CC(C)COC(=O)C(C)OCC(C)C,68.1,3.4,Pfefferle
20,CC(C)CCOC(=O)C(C)OCCC(C)C,74.5,3.7,Pfefferle
21,CCCCCCCCOC(C)C(=O)OCC,51.7,2.6,Pfefferle
22,COC(=O)C(C)OCC1CC1,43.5,2.2,Pfefferle
23,CCOC(=O)CC(OCC)OCC,27.4,1.4,Pfefferle
24,CC(C)CCOCCCC(=O)OCCC(C)C,81.7,4.1,Pfefferle
25,CC(C)CCOCC(=O)OCCC(C)C,70.6,3.5,Pfefferle
26,CCCCCCCCCCCCCCCC,88.25786508,4.412893254,Pfefferle
27,CCCCCCCCCCCCCCC,84.11564162,4.205782081,Pfefferle
28,CCCCCCCCCCCCCC,78.43050339,3.92152517,Pfefferle
29,CCCCCCCCCCCCC,72.51296673,3.625648337,Pfefferle
30,CCCCCCCCCCCC,67.05521295,3.352760648,Pfefferle
31,CCCCCCCCCCC,60.0889102,3.00444551,Pfefferle
32,CCCCCCCCCC,54.00615122,2.700307561,Pfefferle
33,CC(C)(C)c1ccco1,107.5,,Pfefferle
34,CC#CCCC,66.9,,Pfefferle
35,CC#CCCCC,75.2,,Pfefferle
36,CC#CCCCCC,81.2,,Pfefferle
37,CCC(C)CCCC(C)CCCC(C)C,109.8,,Pfefferle
38,CCCCCOCCCCC,49.8,,Pfefferle
39,CCOCCOCCO,15.1,,Pfefferle
40,COC(C)COC(C)COC(C)CO,40.6,,Pfefferle
41,CCCCCCCC(C)O,47.3,,Pfefferle
42,CCCCCCOC(=O)CCCCC,66.7,,Pfefferle
43,CCCCCCCCCC(=O)OC,50.4,,Pfefferle
44,CCCCOC(CCC)CCC,60.3,,Pfefferle
45,CCCCCC(CCCCC)OCC,68.5,,Pfefferle
46,CCCCCCOC(CCC)CCC,73.3,,Pfefferle
47,CCCCCCCCCCC(=O)OC,58.5,,Pfefferle
48,O=CCc1ccccc1,217.6,,Pfefferle
49,CC(=O)c1ccccc1,130.8,,Pfefferle
50,Cc1ccco1,41.5,,Pfefferle
51,CCc1ccco1,46.9,,Pfefferle
52,CCCc1ccco1,53.8,,Pfefferle
53,CCCCc1ccco1,58.6,,Pfefferle
54,Cc1ccoc1C,54.6,,Pfefferle
55,Cc1ccc(C)o1,55.1,,Pfefferle
56,C1CCOC1,20.1,,Pfefferle
57,C1=COCC1,24.9418789,,Pfefferle
58,C1=CCOC1,25.1153902,,Pfefferle
59,CC1CCCO1,30.55889337,,Pfefferle
60,CC1CCC(C)O1,43.4,,Pfefferle
61,O=Cc1ccco1,28.3,,Pfefferle
62,OCc1ccco1,38.06353139,,Pfefferle
63,Cc1ccc(C=O)o1,44.11601392,,Pfefferle
64,COc1ccccc1,111,,Pfefferle
65,OCc1ccccc1,189,,Pfefferle
